Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Connecticut,Idaho,Mississippi
31,Medical Transcriptionists,3,1.25,1,1.88,3,2.62,1.88,2.12,4.25,3.75,3,1,3.12,1.25,1,1.75,4.12,3.88,1,1,1,1,1,1,1,47700,35930,44420
31,Nursing Assistants,3.12,2.25,1.88,2.12,3,2.75,2.12,2.25,3.88,3.75,2.25,2.12,2.88,2.88,3.25,2,3.12,3.12,1,2,1,1,2,1,2,44860,37740,31750
31,Occupational Therapy Aides,3.25,2.12,1.88,2.75,3,2.88,2,2.12,3.75,3.5,2.25,1.75,2.62,2.62,2.88,2.12,3.12,3.12,2,2,2,2,2,1,2, ,27170,33400
31,Occupational Therapy Assistants,3.38,2.25,1.5,3.12,3.25,3,2,2.38,4,4,2.75,2,3,2.25,3.12,2.62,3.62,3.75,1,2,2,2,2,2,2,68680,70850,63520
31,Orderlies,2.88,3,3,2.12,2.88,3,1.88,2.25,3.62,3.38,2.25,2.25,2.38,3,3.38,2.25,2.75,2.75,1,1,1,1,2,1,2,37510,40080,29940
31,Personal Care Aides,3.25,2,2,2.38,3,2.12,2,2.25,3.88,3.88,2.38,2,3,2.75,2.88,2.25,3.25,3,1,2,1,1,2,1,2, , , 
31,Pharmacy Aides,3,2.12,1,1.88,2.75,2.38,2.88,2,4,3.5,2.88,1.62,2.62,2.12,2.12,2.12,3.25,3,1,1,1,1,2,1,1,37250,40970,32220
31,Phlebotomists,3.38,2,1.75,2.5,3.12,3,2.25,2.25,3.5,3.5,3,1.88,3,2.25,2.12,2.5,3.5,3.12,1,2,1,1,2,1,2,47120,42750,36240
31,Physical Therapist Aides,2.88,2.25,1.38,2.12,3,2.62,2,2.25,3.38,3.12,2.75,1.5,3,2.62,2.88,2.12,3,3,1,1,1,2,2,1,2,37010,30980,30110
31,Physical Therapist Assistants,3.25,2.25,1.62,3,3.25,3,2,2.12,4,4.12,3,2,3.25,2.5,3.12,3,3.75,3.25,2,2,1,2,2,1,2,70470,58310,60570
31,Psychiatric Aides,3.62,2.12,2.25,2.88,3.5,2.75,2.12,2.12,3.88,4,3,2.75,3.12,2.75,2.88,2.38,3.75,3.12,2,2,3,2,2,1,2,50600, ,31100
31,Speech-Language Pathology Assistants,3.5,1,1,3,3.5,2.12,2.12,2.38,4,4,2.75,1,2.75,1,1,2.25,3.88,3.88,2,2,2,2,2,1,1,48000,47080,42930
31,Veterinary Assistants and Laboratory Animal Caretakers,3.12,2,1.38,2.25,3,3.12,2.75,2.12,3.38,3.38,2.5,2,3,2.38,2.75,2.25,3,3.25,1,2,1,1,1,1,2,46350,35460,30440
