V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
213124,4,1,1,2,1,2,1,2,2,2,2,2,2,2,3,3,1,4,2,2,2,15,40,15,4,4,5,4,3,5,5,4,5,4,1,2,1,4,2,1,3,1,1,68946,2,MWW
213147,2,2,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,30,85,10,5,5,5,5,4,2,3,2,3,1,1,1,1,3,2,1,2,1,1,46789,3,MWW
213201,1,2,1,1,1,2,1,1,1,2,5,5,5,2,5,2,5,5,2,2,2,0,60,15,5,5,5,5,4,1,2,3,3,2,2,1,1,2,2,3,2,2,1,57013,2,MWW
213381,4,2,1,5,1,2,2,2,2,2,4,4,4,2,4,3,4,5,2,2,2,40,70,50,5,5,5,3,4,4,2,2,2,2,2,1,2,5,2,1,4,2,3,83968,3,MWW
213524,3,2,1,5,1,2,1,5,2,3,4,4,2,2,4,2,4,3,2,2,2,5,97,4,5,5,4,5,3,1,1,1,1,2,1,2,1,3,2,1,2,1,1,741189,4,MWW
213578,3,2,1,5,1,2,1,2,1,2,5,5,4,1,4,1,4,4,2,2,2,0,70,0,5,5,5,5,5,1,3,2,3,3,3,1,1,3,3,6,2,1,1,73699,3,MWW
213595,2,2,1,5,1,2,1,2,2,2,4,4,4,1,4,1,4,4,2,2,2,0,100,0,5,5,5,5,4,1,1,1,2,1,1,1,1,3,3,6,6,1,1,119944,3,MWW
213649,2,1,1,5,1,2,1,2,2,2,3,3,4,2,3,3,4,4,2,2,2,30,80,15,3,3,3,3,3,2,3,2,4,1,2,1,1,4,2,1,4,2,1,31508,2,MWW
213660,4,2,1,5,1,1,2,1,1,2,4,4,4,1,4,2,4,4,2,2,2,60,0,30,3,2,3,2,2,5,5,3,5,4,1,1,1,4,4,4,4,1,1,67003,3,MWW
214026,4,1,1,4,1,1,2,1,5,4,3,2,2,3,4,3,2,4,1,1,1,85,15,75,4,4,4,4,3,5,5,5,5,4,1,1,1,2,2,1,5,1,1,134772,2,MWW
214216,2,1,1,5,1,1,1,1,2,1,4,4,4,1,4,1,4,4,2,2,2,60,0,15,3,4,3,4,2,5,5,4,5,2,1,1,1,2,5,1,3,1,1,63416,3,MWW
214612,4,2,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,70,15,4,5,4,5,3,1,2,2,2,1,2,1,1,3,3,1,3,1,1,195430,2,MWW
215214,3,2,1,4,1,2,2,2,5,2,3,1,3,2,4,2,3,2,2,2,2,30,70,15,3,3,4,4,3,3,2,2,3,1,2,1,2,3,2,1,6,1,1,211762,2,MWW
215355,3,2,1,5,1,1,1,1,1,1,2,1,1,3,3,2,3,4,2,2,2,55,10,20,4,4,5,4,4,5,5,5,5,5,1,1,2,3,2,1,4,1,1,72481,3,MWW
215457,3,1,1,2,1,1,1,1,2,2,3,3,3,2,3,3,3,3,1,2,2,70,15,70,3,3,3,3,2,4,5,5,5,4,1,2,1,4,4,1,4,2,1,5973,2,MWW
315762,1,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,85,0,5,5,5,5,4,1,1,1,2,2,1,1,1,2,3,3,2,2,1,8541,2,MWW
315984,1,1,1,2,1,1,1,1,5,4,3,4,3,3,4,3,4,4,1,1,1,51,25,51,3,4,3,2,1,4,4,4,5,3,1,1,2,4,2,1,4,1,1,402549,2,MWW
316336,4,1,1,5,1,1,3,5,5,3,3,2,4,2,4,2,4,4,1,1,2,87,2,65,2,2,3,1,3,4,5,4,5,3,1,1,1,3,4,6,2,1,1,26357,3,MWW
319535,1,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,80,0,5,5,5,5,3,2,2,2,3,2,1,1,1,2,2,1,4,1,1,49041,1,MWW
320280,4,2,1,5,1,2,1,2,5,2,2,2,3,2,3,2,3,3,2,2,2,40,85,30,3,3,4,4,3,2,2,2,3,3,2,1,2,4,2,6,3,1,1,68231,3,MWW
321655,3,1,1,5,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,100,15,70,1,2,1,2,1,1,5,1,5,1,1,2,3,4,3,3,2,2,1,24423,2,MWW
322384,1,1,1,5,1,1,1,1,1,3,4,5,5,3,3,3,5,3,1,1,1,90,0,75,1,1,1,1,1,5,5,5,5,5,1,2,1,3,3,3,2,2,1,22015,3,MWW
322529,2,1,1,5,1,1,2,2,2,1,4,3,3,1,1,1,4,5,2,2,1,60,0,40,3,4,2,4,3,5,5,5,5,4,1,1,1,2,2,1,5,1,1,281993,2,MWW
329827,2,1,1,5,1,1,1,1,1,3,3,3,1,1,4,2,3,4,1,1,-8,100,0,70,1,1,1,1,1,5,5,5,5,3,2,2,2,4,2,1,4,1,1,204385,3,MWW
332094,2,2,1,5,1,1,1,1,1,3,2,4,3,2,2,2,2,3,2,2,1,60,0,60,4,3,3,3,2,5,5,4,5,5,2,1,1,2,4,4,2,1,1,46392,3,MWW
333335,3,1,1,5,1,2,3,5,5,2,3,3,2,2,3,2,3,3,2,2,2,40,70,30,4,5,3,4,4,3,3,4,4,3,2,1,1,4,2,1,3,1,1,529751,1,MWW
337848,4,2,1,5,1,2,2,5,5,2,2,3,2,1,2,1,2,1,2,2,2,15,85,0,5,5,5,5,5,1,1,1,1,2,2,2,2,4,4,6,3,1,4,321422,3,MWW
341906,2,2,1,5,1,1,1,5,5,3,1,1,1,3,1,3,2,1,1,2,1,85,50,85,3,3,3,3,3,3,5,2,5,3,2,2,2,4,2,4,3,2,1,26305,2,MWW
343512,1,2,1,4,1,1,1,1,1,2,3,3,3,2,3,3,5,3,2,2,2,30,15,60,5,3,3,2,3,5,4,3,5,2,1,2,1,3,2,1,6,2,1,320825,1,MWW
344826,3,1,1,5,1,1,2,1,1,2,3,2,2,2,3,2,3,3,2,2,2,70,50,70,3,2,2,3,4,5,5,5,4,4,2,1,2,2,4,1,3,2,1,73998,2,MWW
347580,1,2,1,5,1,2,1,2,2,3,3,2,1,3,3,2,3,4,2,2,1,30,70,30,5,4,5,5,4,3,4,3,5,4,1,1,1,2,2,1,2,1,1,388488,2,MWW
348962,4,2,1,5,1,2,1,5,5,5,5,5,5,1,5,1,5,5,2,1,1,15,85,15,4,4,4,4,4,3,4,3,3,2,1,1,1,3,3,4,2,1,1,24585,2,MWW
350183,2,2,1,5,1,2,1,2,2,1,5,3,4,1,5,1,5,5,2,2,2,0,100,0,5,5,5,5,4,2,1,1,1,1,1,1,1,3,2,1,2,2,1,26231,1,MWW
352461,1,2,1,1,1,2,2,2,2,2,5,4,4,1,4,1,5,5,2,2,2,0,100,0,5,5,5,5,5,1,2,2,3,1,1,1,1,3,3,1,2,1,6,62359,3,MWW
352953,2,2,1,5,1,2,1,2,2,3,3,2,2,2,3,2,2,3,2,2,2,30,60,40,4,5,4,4,2,2,4,1,4,4,1,1,1,3,1,1,2,1,1,56821,2,MWW
355272,1,2,1,5,1,2,1,2,2,4,4,3,5,2,5,3,4,4,2,2,2,0,100,0,5,5,4,5,3,3,1,1,3,1,1,1,1,3,2,4,4,2,5,27684,3,MWW
355942,2,2,1,2,1,2,2,2,2,3,3,4,5,1,3,1,5,3,2,2,1,40,50,30,3,4,5,4,4,3,3,4,4,4,1,1,1,2,2,1,2,1,1,67033,3,MWW
358094,3,1,1,5,1,1,1,1,5,3,1,2,2,2,4,2,3,1,1,2,-8,70,0,70,3,3,2,2,2,5,5,3,5,3,1,2,1,4,2,4,5,2,1,44043,2,MWW
359053,3,2,1,5,1,1,1,1,1,2,5,5,5,1,5,1,5,5,1,1,2,85,0,70,2,1,2,1,2,5,5,4,5,5,1,1,1,3,2,6,5,1,2,33402,2,MWW
363684,3,1,1,5,1,2,1,2,2,2,4,4,4,1,4,2,4,1,2,2,2,0,80,0,5,3,4,4,2,1,2,2,2,2,2,1,1,4,2,4,2,2,1,58255,2,MWW
364636,2,1,1,5,1,1,2,5,5,2,3,3,3,2,3,2,2,3,1,2,2,100,40,60,2,1,1,2,2,4,5,3,5,4,2,1,2,3,3,3,2,2,1,4316,2,MWW
368110,3,1,1,4,1,1,2,1,5,4,3,1,2,3,4,1,2,3,1,1,1,70,40,70,4,3,3,2,3,3,4,3,4,4,2,1,2,4,2,1,4,1,1,131796,2,MWW
373749,2,2,1,5,1,1,1,1,1,4,3,2,2,4,3,3,3,3,1,1,1,100,0,85,2,1,1,1,1,3,5,5,5,5,2,2,2,4,2,1,3,2,1,116165,1,MWW
380399,2,2,1,4,1,2,3,5,5,1,4,2,3,2,3,2,4,4,2,2,2,30,60,15,4,5,4,3,4,1,2,3,3,3,1,1,2,4,4,1,3,1,1,113468,3,MWW
381190,4,1,1,5,1,1,3,5,5,5,5,5,3,3,5,5,5,5,1,1,1,85,0,70,1,2,2,1,2,4,5,4,5,5,2,1,1,3,4,6,2,1,6,8138,2,MWW
387997,4,2,1,5,1,2,5,2,2,2,5,5,5,5,5,1,5,5,2,2,2,40,60,40,3,3,3,3,3,3,3,3,3,1,1,1,2,3,2,1,4,2,1,33844,3,MWW
393753,4,1,1,5,1,2,2,2,2,5,1,2,2,3,2,3,3,3,2,2,2,30,50,0,4,5,4,3,2,1,3,2,4,1,1,1,1,2,2,1,2,2,1,232456,1,MWW
394483,3,1,1,5,1,1,1,1,1,3,1,1,1,2,2,3,4,2,1,1,1,70,15,70,3,3,2,1,3,5,5,3,4,4,3,1,1,4,4,6,4,1,6,45556,2,MWW
396998,2,1,1,1,1,1,1,1,1,3,3,2,2,3,3,3,3,3,1,1,1,100,0,85,2,2,2,2,2,3,5,4,5,3,1,1,2,4,2,1,4,2,1,49195,1,MWW
